code,breadth_requirement,course_experience,description,recommended_preperation,prerequisite_description,exclusion_description,name,corequisite_description,note
THRD56H3,ART_LIT_LANG,University-Based Experience,"This course is an intensive study of theatrical production from the vantage points of producers, directors (and assistant directors), designers (and assistant designers), stage managers (and assistant stage managers), and dramaturgs. It engages students in the experiential learning process inherent in conceiving of, planning for, rehearsing, and producing a major theatrical production. Students are required to submit an application. Applications will be available in August and can be found on the Arts, Culture, and Media website and in the timetable.",,THRC56H3 and permission of the Theatre and Performance Studies instructor.,,"Creating a Production: Conception, Design, and Execution III",,"1. This course will meet at non-traditional times, when the show rehearsals and production meetings are scheduled. 2. THRD56H3 is intended for Year 4 students at UTSC with extensive theatrical experience. Less experienced producers, directors, designers, stage managers, and dramaturgs are encouraged to register for THRB56H3 or THRC56H3."
THRD60H3,ART_LIT_LANG,,"A study of key ideas in theatre and performance theory with a focus on pertinent 20th/21st century critical paradigms such as postcolonialism, feminism, interculturalism, cognitive science, and others. Students will investigate theory in relation to selected dramatic texts, contemporary performances, and practical experiments.",,Any 3.0 credits in THR courses,(VPDD50H3),Advanced Seminar in Theatre and Performance,,
THRD90H3,,University-Based Experience,Advanced scholarly projects open to upper-level Theatre and Performance students. The emphasis in these courses will be on advanced individual projects exploring specific areas of theatre history and/or dramatic literature.,,"1.0 credit at the C-level in THR courses, and permission of the Program Director.",(VPDD23H3),"Supervised Studies in Drama, Theatre and Performance",,
THRD91H3,,,"Advanced practical projects open to upper-level Theatre and Performance students. These courses provide an opportunity for individual exploration in areas involving the practice of theatre: directing, producing, design, playwriting, dramaturgy, etc.",,"1.0 credit at the C-level in THR courses, and permission of the Program Director.",(VPDD28H3),Independent Projects in Theatre and Performance,,
VPAA10H3,ART_LIT_LANG,,"An introduction to the theories and practices of arts and media management within the not-for-profit, public, and social enterprise sectors. It is a general survey course that introduces the broad context of arts and media management in Canadian society and the kinds of original research skills needed for the creative and administrative issues currently faced by the arts and media community.",,,,Introduction to Arts and Media Management,,
VPAA12H3,ART_LIT_LANG,,"An introduction to the work involved in building and sustaining relationships with audiences, funders, and community, and the vital connections between marketing, development, and community engagement in arts and media organizations. Includes training in observational research during class for independent site visits outside class time.",,VPAA10H3,"(VPAB12H3), (VPAB14H3)","Developing Audience, Resources, and Community",,
VPAB10H3,,University-Based Experience,"An introduction to equity, inclusivity and diversity as it relates to organizational development and cultural policymaking in arts and media management. This course will take students through an overview of critical theories of systemic power and privilege, including those of race, gender, socio-economic status, sexual orientation or identity, age, ability/disability and religion and examine how these impact varied creative working environments and institutions.",,VPAA10H3 and VPAA12H3,,Equity and Inclusivity in Arts and Media Organizations,,
VPAB13H3,QUANT,,"An introduction to financial management basics and issues faced by arts and cultural managers, using examples and exercises to introduce basic accounting concepts, financial statement preparation and analysis, internal control and management information systems, budgeting and programming, cash and resource management, and various tax-related issues.",VPAA12H3 or [(VPAB12H3) and (VPAB14H3)],VPAA10H3,MGTB03H3,Financial Management for Arts Managers,,
VPAB16H3,ART_LIT_LANG,,"An introduction to the theories and practices of organizational development through arts and media governance, leadership, employee, and volunteer management, using examples from the field. Includes training in original research for professional report-writing through individual and group exercises.",,VPAA10H3 and VPAA12H3,,Managing and Leading in Cultural Organizations,,VPAA12H3 may be taken as a co-requisite with the express permission of the instructor.
VPAB17H3,ART_LIT_LANG,Partnership-Based Experience,"An introduction to the real-world application of knowledge and skills in arts and arts-related organizations . This course allows students to develop discipline-specific knowledge and skills through experiential methods, including original research online, class field visits, and independent site visits for observational research outside class time.",,VPAA12H3 and VPAB16H3,,From Principles to Practices in Arts Management,,Initially restricted to students in the Specialist Program in Arts Management.
VPAB18H3,ART_LIT_LANG,,"An introduction to the producing functions in the arts and in media management. The course will cover the genesis of creative and managing producers in arts and media, and what it is to be a producer today for internet, television, radio and some music industry and social media environments or for arts and media creative hubs, or for non-profit performing and multi-disciplinary theatres in Canada that feature touring artists. Includes individual and group skill-building in sector research to develop and present creative pitch packages and/or touring plans.",,VPAA10H3 and VPAA12H3,,Becoming a Producer,,
VPAC13H3,ART_LIT_LANG,,"This course is designed to provide a foundation for project management and strategic planning knowledge and skills. Topics such as project and event management as well as strategic and business planning include how to understand organizational resource-management and consultative processes, contexts, and impacts, will be discussed and practiced through group and individual assignments.",,8.0 credits including [VPAB13H3 and VPAB16H3],,Planning and Project Management in the Arts and Cultural Sector,,
VPAC15H3,ART_LIT_LANG,,"A survey of the principles, structures, and patterns of cultural policy and how these impact arts and media funding structures in Canada, nationally and internationally. Through original research including interviews in the sector, group and individual assignments will explore a wide range of cultural policy issues, processes, and theoretical commitments underpinning the subsidized arts, commercial and public media industries, and hybrid cultural enterprises, critically exploring the role of advocacy and the strengths and weaknesses of particular policy approaches.",,"[8.0 credits, including VPAA10H3 and VPAA12H3] or [8.0 credits, including: SOCB58H3 and registration in the Minor Program in Culture, Creativity, and Cities]",,Cultural Policy,,
VPAC16H3,ART_LIT_LANG,,"A study of essential legal and practical issues relevant to the arts and media workplace, with a particular focus on contracts, contract negotiation, and copyright.",,8.0 credits including VPAA10H3 and VPAA12H3 and VPAB16H3,,Contracts and Copyright,,
VPAC17H3,ART_LIT_LANG,,"An advanced study of marketing in the arts and media sectors. Through group and individual assignments including the development of a marketing and promotions plan, this course facilitates a sophisticated understanding of the knowledge and skills required for arts and media managers to be responsive to varied market groups and changing market environments and successfully bring creative and cultural production and audiences together.",,VPAA10H3 and VPAA12H3,,Marketing in the Arts and Media,,
VPAC18H3,ART_LIT_LANG,,"An advanced study of fundraising and resource development in the arts and media sector. This course facilitates a sophisticated understanding of knowledge and skills required for arts and media managers to develop varied revenue streams, including grantwriting, media funding, and contributed revenue strategies to support artistic missions. Through group and individual assignments, the course culminates in pitch packages or grant applications for real-life programs including creative briefs, budgets, financing plans, and timelines",,VPAA12H3 and VPAB13H3 and VPAB16H3,,Raising Funds in Arts and Media,,
VPAC21H3,ART_LIT_LANG,,"Special topics for intensive practical, theoretical and/or experiential study of some specific aspects of Arts Management. The topic(s) to be explored in this course will change from session to session.",,"10.0 credits, including [VPAA10H3 and VPAA12H3 and VPAB16H3]",(VPAD13H3),Special Topics in Arts Management I,,
VPAC22H3,ART_LIT_LANG,,"Special topics for intensive practical, theoretical and/or experiential study of some specific aspects of Arts Management. The topic(s) to be explored in this course will change from session to session.",,"10.0 credits, including [VPAA10H3 and VPAA12H3 and VPAB16H3]",,Special Topics in Arts Management II,,
VPAD10H3,ART_LIT_LANG,University-Based Experience,"This course will prepare students for the realities of working in and leading arts and media organizations by challenging them with real-world problems via case studies and simulations. Through individual and group assignments involving research in the field that culminates in an original case presentation and report, students will consider, compare, explain, and defend decisions and actions in real- life organizations to develop their ability to demonstrate effective and ethical approaches to arts and media management.",,"At least 14.0 credits, including 1.0 credit at the C-level in VPA courses.",,"Good, Better, Best: Case Study Senior Seminar",,Preference is given to students enrolled in the Major programs in Arts & Media Management. This course requires ancillary fees (case study fees)
VPAD11H3,,University-Based Experience,"Are you interested in researching hands-on professional practice to synthesize and apply the theory-based learning you have undertaken in arts and media management about how people and organizations work in the culture sector and media industries? In this course, you will propose your own research project to examine how a specific creative business (such as a creative hub, media company or performing or visual arts organization) and its related practices operate, exploring specific areas of arts or media management practice, theory, history or emergent issues. While the creative ecosystem is made up of a broad and sometimes baffling array of for-profit, non-profit and hybrid ways of doing things, this course will provide insights into an organization of your choice.",,"At least 14.0 full credits, including 1.0 full credit at the C level in VPA courses.",,Focus on the Field: Senior Research Seminar,,
VPAD12H3,,University-Based Experience,This course is an intensive synthesis and application of prior learning through collaborative project-based practice. Students will lead and actively contribute to one or more major initiative(s) that will allow them to apply the principles and employ the practices of effective arts and media management.,,At least 14.0 credits including VPAC13H3.,,Senior Collaborative Projects,,Restricted to students enrolled in the Specialist Program in Arts Management.
VPAD14H3,,University-Based Experience,A directed research and/or project-oriented course for students who have demonstrated a high level of academic maturity and competence. Qualified students will have the opportunity to investigate an area of interest to both student and the Director in traditional or emerging subjects related to the field of Arts Management.,,At least 1.0 credit at the C-level in Arts Management courses. Written consent and approval of a formal proposal in the approved format must be obtained from the supervising instructor and Program Director by the last date of classes in the previous academic session.,MGTD80H3,Independent Studies in Arts Management,,
VPHA46H3,ART_LIT_LANG,,How and why are objects defined as Art? How do these definitions vary across cultures and time periods? Studying different approaches to writing art history and considering a wide range of media from photography to printmaking and installation arts.,,,"(FAH100Y), FAH101H",Ways of Seeing: Introduction to Art Histories,,
VPHB39H3,ART_LIT_LANG,,"Key concepts in art history, including intention, meaning, style, materiality, identity, production, reception, gender, visuality, and history. Students will explore critical questions such as whether and how to read artist's biographies into their art. This course helps students understand the discipline and develops critical thinking and research skills required in advanced courses.",,VPHA46H3 or ACMA01H3,FAH102H,Ten Key Words in Art History: Unpacking Methodology,,
VPHB40H3,ART_LIT_LANG,University-Based Experience,"This course offers a critical look at ways of exhibiting art, including exploring the exhibitions and collection of the Doris McCarthy Gallery and the public sculptures located on campus. Through readings, discussions and site visits we will consider the nature of exhibitions, their audiences and current practices juxtaposed with investigations of the history and practice of display.",,VPHA46H3,"VPSB73H3, (VPHB71H3), FAH310H",Exhibiting Art,,
VPHB50H3,ART_LIT_LANG,,"The centrality of photographic practice to African cultures and histories from the period of European imperialism, the rise of modernist ""primitivism"" and the birth of ethnology and anthropology to contemporary African artists living on the continent and abroad.",,VPHA46H3 or ACMA01H3 or AFSA01H3,,Africa Through the Photographic Lens,,
VPHB53H3,ART_LIT_LANG,,"The origins of European artistic traditions in the early Christian, Mediterranean world; how these traditions were influenced by classical, Byzantine, Moslem and pagan forms; how they developed in an entirely new form of artistic expression in the high Middle Ages; and how they led on to the Renaissance.",,VPHA46H3,"FAH215H, FAH216H",Medieval Art,,
VPHB58H3,ART_LIT_LANG,,"A study of nineteenth and twentieth-century arts and visual media, across genres and cultures. What did modernity mean in different cultural contexts? How is 'modern' art or 'modernism' defined? How did the dynamic cultural, economic, and socio-political shifts of the globalizing and industrializing modern world affect the visual ars and their framing?",,VPHA46H3,"FAH245H, FAH246H",Modern Art and Culture,,
VPHB59H3,ART_LIT_LANG,,"Shifts in theory and practice in art of the past fifty years. Studying selected artists' works from around the world, we explore how notions of modern art gave way to new ideas about media, patterns of practice, and the relations of art and artists to the public, to their institutional contexts, and to globalized cultures.",,VPHA46H3 or VPHB39H3,"FAH245H, FAH246H",Current Art Practices,,
VPHB63H3,ART_LIT_LANG,,"This course is an introduction to art and visual culture produced in Italy ca. 1350-1550. Students will explore new artistic media and techniques, along with critical issues of social, cultural, intellectual, theoretical and religious contexts that shaped the form and function of art made during this era.",,VPHA46H3,FAH230H,"Fame, Spectacle and Glory: Objects of the Italian Renaissance",,
VPHB64H3,ART_LIT_LANG,,"This course introduces the art and culture of 17th century Europe and its colonies. Art of the Baroque era offers rich opportunities for investigations of human exploration in geographic, spiritual, intellectual and political realms. We will also consider the development of the artist and new specializations in subject and media.",VPHB63H3 or VPHB74H3,VPHA46H3,"FAH231H, FAH279H",Baroque Visions,,
VPHB68H3,ART_LIT_LANG,University-Based Experience,"This course explores the relationship between visuality and practices of everyday life. It looks at the interaction of the political, economic and aesthetic aspects of mass media with the realm of ""fine"" arts across history and cultures. We will explore notions of the public, the mass, and the simulacrum.",,VPHA46H3,,Art and the Everyday: Mass Culture and the Visual Arts,,
VPHB69H3,SOCIAL_SCI,,"In this course students will learn about sustainability thinking, its key concepts, historical development and applications to current environmental challenges. More specifically, students will gain a better understanding of the complexity of values, knowledge, and problem framings that sustainability practice engages with through a focused interdisciplinary study of land. This is a required course for the Certificate in Sustainability, a certificate available to any student at UTSC. Same as ESTB03H3",,,,Back to the Land: Restoring Embodied and Affective Ways of Knowing,,
VPHB73H3,ART_LIT_LANG,,"A survey of the art of China, Japan, Korean, India, and Southeast Asia. We will examine a wide range of artistic production, including ritual objects, painting, calligraphy, architectural monuments, textile, and prints. Special attention will be given to social contexts, belief systems, and interregional exchanges. Same as GASB73H3",,ACMA01H3 or VPHA46H3 or GASA01H3,"GASB73H3, FAH260H",Visualizing Asia,,
VPHB74H3,ART_LIT_LANG,University-Based Experience,"This course explores the rich visual culture produced in northern and central Europe 1400-1600. Topics such as the rise of print culture, religious conflict, artistic identity, contacts with other cultures and the development of the art market will be explored in conjunction with new artistic techniques, styles and materials.",,VPHA46H3,"FAH230H, FAH274H",Not the Italian Renaissance: Art in Early Modern Europe,,
VPHB77H3,ART_LIT_LANG,,"An introduction to modern Asian art through domestic, regional, and international exhibitions. Students will study the multilayered new developments of art and art institutions in China, Japan, Korea, India, Thailand, and Vietnam, as well as explore key issues such as colonial modernity, translingual practices, and multiple modernism. Same as GASB77H3",,ACMA01H3 or VPHA46H3 or GASA01H3,"GASB77H3, FAH262H",Modern Asian Art,,
VPHB78H3,ART_LIT_LANG,Partnership-Based Experience,"Local arts institutions are often taken for granted but understanding how and why collections are formed, why they are significant, and how they relate to larger art historical contexts provides important object-based learning opportunities. Students will explore these issues using a focused collection in the Royal Ontario Museum, the Aga Khan Museum or the Textile Museum.",,VPHA46H3,,"Our Town, Our Art: Local Collections I",,
VPHB79H3,ART_LIT_LANG,Partnership-Based Experience,"Local arts institutions are often taken for granted but understanding how and why collections are formed, why they are significant, and how they relate to larger art historical contexts provides important object-based learning opportunities. Students will explore these using a focused collection in the Art Gallery of Ontario.",,VPHA46H3,,"Our Town, Our Art: Local Collections II",,Some classes will be held at the museum; students should be prepared to travel.
VPHC41H3,ART_LIT_LANG,,"Major artistic and architectural monuments of Europe from the Carolingian renaissance to the renaissance of the twelfth century, considered in relation to geographical context, to monasticism and pilgrimage, to artistic developments of the contemporary Mediterranean world, and to the art and architecture of the later Roman Empire, Byzantium and Armenia, Islam and the art of the invasion period.",,VPHB53H3,"(VPHB42H3), FAH215H",Carolingian and Romanesque Art,,
VPHC42H3,ART_LIT_LANG,University-Based Experience,"Current scholarship is expanding and challenging how we decide ""what is Gothic?"" We will examine a variety of artworks, considering artistic culture, social, cultural, and physical contexts as well. Style, techniques, patronage, location in time and space, and importance of decoration (sculpture, stained glass, painting, tapestry) will be among topics discussed.",,VPHB53H3,"FAH328H, FAH351H5, (FAH369H)",Gothic Art and Architecture,,
VPHC45H3,ART_LIT_LANG,,"Special topics in twentieth-century painting and sculpture. The subject will change from time to time. After introductory sessions outlining the subject and ways of getting information about it, seminar members will research and present topics of their choice.",,1.0 credit at the VPHB-level,,Seminar in Modern and Contemporary Art,,
VPHC49H3,ART_LIT_LANG,,"The class will read selected recent cultural theory and art theory and consider its implications for a variety of works of art, and will investigate selected exhibition critiques and the critical discourse surrounding the oeuvres of individual artists.",,VPHA46H3 and VPHB39H3,,Advanced Studies in Art Theory,1.0 credit at the B-level in VPH and/or VPS courses,
VPHC52H3,HIS_PHIL_CUL,,"This course uses a focus on material history and visual culture to explore Ethiopia from the fourth through the nineteenth century, with particular emphasis on the Christian Church, the monarchy, links with both the Mediterranean world and the Indian subcontinent, and the relationship of individuals to their social, economic, artistic and geographic environments. Same as AFSC52H3 and HISC52H3",,[1.0 credit in History] or [VPHA46H3 and an additional 1.0 credit in VPH courses],"AFSC52H3, HISC52H3",Ethiopia: Seeing History,,
VPHC53H3,ART_LIT_LANG,University-Based Experience,"The Silk Routes were a lacing of highways connecting Central, South and East Asia and Europe. Utilizing the Royal Ontario Museum's collections, classes held at the Museum and U of T Scarborough will focus on the art produced along the Silk Routes in 7th to 9th century Afghanistan, India, China and the Taklamakhan regions. Same as GASC53H3",,1.0 credit in art history or in Asian or medieval European history.,GASC53H3,The Silk Routes,,
VPHC54H3,ART_LIT_LANG,,"Art criticism as a complex set of practices performed not only by critics, art historians, curators and the like, but also by artists (and collectors). The traditional role of art critics in the shaping of an art world, and the parallel roles played by other forms of writing about art and culture (from anthropology, sociology, film studies).",,"2.0 credits at the B-level in VPA, VPH, and/or VPS courses.",,Art Writing,,
VPHC63H3,ART_LIT_LANG,University-Based Experience,"This seminar-format course will offer students the opportunity to investigate critical theories and methodologies of the early modern period (roughly 1400-1700). Focusing on such topics as a single artist, artwork or theme, students will become immersed in an interdisciplinary study that draws on impressive local materials from public museum and library collections.",,VPHA46H3 and [one of VPHB63H3 or VPHB64H3 or VPHB74H3].,,Explorations in Early Modern Art,,
VPHC68H3,ART_LIT_LANG,,"This course looks at the global city as a hub for the creation of visual, performing arts and architecture. How have cyberspace and increased transnational flows of art and artists changed the dynamic surrounding urban arts? What are the differences between the arts within the modern and global contemporary city?",,VPHB58H3 or VPHB59H3,(VPHC52H3),Art in Global Cities,,
VPHC72H3,ART_LIT_LANG,Partnership-Based Experience,"Art and the settings in which it is seen in cities today. Some mandatory classes to be held in Toronto museums and galleries, giving direct insight into current exhibition practices and their effects on viewer's experiences of art; students must be prepared to attend these classes.",,"VPHA46H3, and VPHB39H3",(CRTC72H3),"Art and Visual Culture in Spaces, Places, and Institutions",,
VPHC73H3,SOCIAL_SCI,,"This course considers representations of diaspora, migration, displacement, and placemaking within visual culture. We will employ a comparative, cross-cultural approach and a historical perspective, to consider how artists, theorists, media, and social institutions think about and visualize these widely-held experiences that increasingly characterize our cosmopolitan, interconnected world.",,1.0 credits at VPHB-level,(VPAB09H3),"Home, Away, and In Between: Diaspora and Visual Culture",,
VPHC74H3,ART_LIT_LANG,,"Introduction to Contemporary Art in China An introduction to Chinese contemporary art focusing on three cities: Beijing, Shanghai, and Guangzhou. Increasing globalization and China's persistent self-renovation has brought radical changes to cities, a subject of fascination for contemporary artists. The art works will be analyzed in relation to critical issues such as globalization and urban change. Same as GASC74H3",,"2.0 credits at the B-level in Art History, Asian History, and/or Global Asia Studies courses, including at least 0.5 credit from the following: VPHB39H3, VPHB73H3, HISB58H3, (GASB31H3), GASB33H3, or (GASB35H3).",GASC74H3,A Tale of Three Cities:,,
VPHC75H3,ART_LIT_LANG,,"This course focuses on the ideas, career and œuvre of a single artist. Exploration and comparison of works across and within the context of the artist’s output provides substantial opportunities for deeper levels of interpretation, understanding and assessment. Students will utilize and develop research skills and critical methodologies appropriate to biographical investigation.",,"VPHB39H3 and [an additional 1.0 credit at the B-level in Art History, Studio Art or Arts Management courses]",,"The Artist, Maker, Creator",,
VPHD42Y3,,University-Based Experience,A course offering the opportunity for advanced investigation of an area of interest; for students who are nearing completion of art history programs and who have already acquired independent research skills. Students must locate a willing supervisor and topics must be identified and approved by the end of the previous term.,,1.0 credit at the C-level in art history. Students are advised that they must obtain consent from the supervising instructor before registering for these courses.,,Supervised Reading in Art History,,
VPHD48H3,ART_LIT_LANG,University-Based Experience,"What is art history and visual culture? What do we know, and need to know, about how we study the visual world? This capstone course for senior students will examine the ambiguities, challenges, methods and theories of the discipline. Students will practice methodological and theoretical tenets, and follow independent research agendas.",,1.5 credits at the C-level in VPH courses,FAH470H,Advanced Seminar in Art History and Visual Culture,,Priority will be given to students in the Major and Minor in Art History and Visual Culture. Additional students will be admitted as space permits.
VPSA62H3,ART_LIT_LANG,,An introduction to the importance of content and context in the making of contemporary art.,,,"VIS130H, JAV130H",Foundation Studies in Studio,VPSA63H3,
VPSA63H3,HIS_PHIL_CUL,,"This introductory seminar examines the key themes, concepts, and questions that affect the practice of contemporary art. We will look at specific cases in the development of art and culture since 1900 to understand why and how contemporary art can exist as such a wide-ranging set of forms, media and approaches.",,,"VIS120H, JAV120H, VST101H",But Why Is It Art?,,
VPSB01H3,ART_LIT_LANG,,"The figure of the artist is distorted in the popular imagination by stereotypes around individualism, heroism, genius, mastery, suffering, and poverty. This lecture course will examine these gendered, colonial mythologies and offer a more complex picture of the artist as a craftsperson, professional, entrepreneur, researcher, public intellectual and dissident. We will consider diverse artistic models such as artist collectives and anonymous practitioners that challenge the idea of the individual male genius and examine artists’ complex relationship with elitism, the art market, arts institutions, and gentrification. This course will be supplemented by visiting artist lectures that will offer students insight into the day-to-day reality of the practicing artist.",,[VPSA62H3 and VPSA63H3],,The Artist,,
VPSB02H3,ART_LIT_LANG,,"How should artists make pictures in a world inundated with a relentless flow of digital images? Can pictures shape our understanding of the social world and influence mainstream culture? Through the perspective of contemporary artmaking, this lecture course will explore ways that artists decentre and decolonize the image and concepts of authorship, representation, truth, and the gaze. The course will also examine the role of visual technologies (cameras, screens, microscopes), distribution formats (the photographic print, mobile devices, the Internet), and picture making (ubiquitous capture, synthetic media, artificial intelligence) to consider how artists respond to changing ideas about the visible world.",,[VPSA62H3 and VPSA63H3],,Image Culture,,
VPSB56H3,ART_LIT_LANG,,"This hands-on, project-based class will investigate fundamental digital concepts common to photography, animation, and digital publishing practices. Students will learn general image processing, composing, colour management, chromakey, and typograpic tools for both on-line and print- based projects. These will be taught through Adobe Creative Suite software on Apple computers.",,,"(VPSA74H3), VIS218H, FAS147H",Digital Studio I,VPSA62H3 and VPSA63H3,
VPSB58H3,ART_LIT_LANG,,An introduction to the basic principles of video shooting and editing as well as an investigation into different conceptual strategies of video art. The course will also provide an introduction to the history of video art.,,VPSA62H3 and VPSA63H3,"(VPSA73H3), VIS202H",Video I,,
VPSB59H3,ART_LIT_LANG,,This course introduces students to the use of three- dimensional materials and processes for creating sculptural objects. Traditional and non-traditional sculptural methodologies and concepts will be explored.,,VPA62H3 and VPSA63H3,(VPSA71H3) FAS248H,Sculpture I,,
VPSB61H3,ART_LIT_LANG,,An investigation of the basic elements and concepts of painting through experimentation in scale and content.,,VPSA62H3 and VPSA63H3,"(VPSA61H3), VIS201H, FAS145H",Painting I,,
VPSB62H3,ART_LIT_LANG,,A continuation of Painting I with an emphasis on images and concepts developed by individual students.,,VPSB61H3,"VIS220H, FAS245H",Painting II,,
VPSB67H3,ART_LIT_LANG,,"An introduction to fundamental photographic concepts including depth, focus, stopped time, lighting and photographic composition in contrast to similar fundamental concerns in drawing and painting. A practical and historical discourse on the primary conceptual streams in photography including various documentary traditions, staged photographs and aesthetic approaches from photographic modernism to postmodernism.",,VPSB56H3,"(VPSA72H3), VIS218H, FAS147H",Photo I,,
VPSB70H3,ART_LIT_LANG,,"An investigation of the various approaches to drawing, including working from the figure and working with ideas.",,VPSA62H3 and VPSA63H3,"(VPSA70H3), VIS205H, FAS143H",Drawing I,,
VPSB71H3,ART_LIT_LANG,University-Based Experience,"Artist multiples are small, limited edition artworks that include sculptures, artist books, mass-produced ephemera such as posters, postcards and small objects. Students will explore the production and history of 2D and 3D works using a variety of media and approaches. This course is about both making and concepts.",,VPSA62H3 and VPSA63H3,VIS321H,Artist Multiples,,
VPSB73H3,ART_LIT_LANG,,"This course is designed to offer students direct encounters with artists and curators through studio and gallery visits. Field encounters, written assignments, readings and research focus on contemporary art and curatorial practices. The course will provide skills in composing critical views, artist statements, and writing proposals for art projects.",,[[VPSA62H3 and VPSA63H3] and [0.5 credit at the B-level in VPS courses]] or [enrolment in the Minor in Curatorial Studies],VIS320H,Curatorial Perspectives I,,
VPSB74H3,ART_LIT_LANG,,A continuation of VPSB70H3 with an increased emphasis on the student's ability to expand her/his personal understanding of the meaning of drawing.,,VPSA62H3 and VPSA63H3 and VPSB70H3,VIS211H and FAS243H,Drawing II,,
VPSB75H3,ART_LIT_LANG,,A Studio Art course in digital photography as it relates to the critical investigation of contemporary photo-based art.,,VPSB67H3,"FAS247H, VIS318H",Photo II,,
VPSB76H3,ART_LIT_LANG,,"This course explores advanced camera and editing techniques as well as presentation strategies using installation, projection, and multiple screens. Students will make projects using both linear and non-linear narratives while exploring moving image influences from online culture, popular media, surveillance culture, cinema, photography, performance, and sculpture.",,VPSB58H3,VIS302H,Video II,,
VPSB77H3,ART_LIT_LANG,,"This course covers the history and practice of performance art. Students will employ contemporary performance strategies such as duration, ritual, repetition, intervention, tableau vivant, endurance and excess of materials in their projects. We will also study the relationship of performance to other art disciplines and practices such as theatre and sculpture.",,VPSA62H3 and VPSA63H3,VIS208H,Performance Art,,
VPSB80H3,ART_LIT_LANG,,"An in-depth investigation of digital imaging technologies for serious studio artists and new media designers. Emphasis is placed on advanced image manipulation, seamless collage, invisible retouching and quality control techniques for fine art production. Project themes will be drawn from a critical analysis of contemporary painting and photo-based art.",VPSB67H3,VPSB56H3,"FAS247H, VIS318H",Digital Studio II,,
VPSB85H3,ART_LIT_LANG,,This course looks at how visual artists employ words in their art. Students will be introduced to the experimental use of text in contemporary art: how typography has influenced artists and the role of language in conceptual art by completing projects in various media.,,VPSA62H3 and VPSA63H3,,Text as Image/Language as Art,,
VPSB86H3,ART_LIT_LANG,,This course introduces students to the time-based use of three-dimensional materials and processes for creating sculptural objects. Students will use both traditional and non- traditional materials in combination with simple technologies.,,[VPSA62H3 and VPSA63H3] and VPSB59H3,,Sculpture II,,
VPSB88H3,ART_LIT_LANG,,"Students will be introduced to sound as a medium for art making. Listening, recording, mapping, editing, and contextualizing sounds will be the focus of this course. Sound investigations will be explored within both contemporary art and experimental sound/music contexts.",,VPSA62H3 and VPSA63H3,,Sound Art,,
VPSB89H3,ART_LIT_LANG,,"A non-traditional course in the digital production of non- analog, two-dimensional animation through the use of computer-based drawing, painting, photography and collage. Students will learn design strategies, experimental story lines, sound mixing, and video transitions to add pace, rhythm, and movement to time based, digital art projects.",VPSB70H3,VPSA62H3 and VPSA63H3 and VPSB56H3,,Digital Animation I,,
VPSB90H3,ART_LIT_LANG,,"A project based course, building upon concepts developed in VPSB89H3 Introduction to Digital Animation. Students will refine their control of sound, movement, and image quality. This course will also introduce three-dimensional wire frame and ray-tracing techniques for constructing convincing 3-D animated objects and scenes as they apply to contemporary artistic practices.",,VPSB89H3,(VPSC89H3),Digital Animation II,,
VPSC04H3,ART_LIT_LANG,University-Based Experience,"""Live!"" investigates interdisciplinary modes of contemporary performance. Within a studio context, this course serves as an advanced exploration of 21st century Live Art. This interactive course reviews the dynamics of time, space and existence, and asks fundamental questions about the body and performance.",,VPHA46H3 and [VPSB77H3 or THRA11H3/VPDA11H3 or (VPDA15H3)] and [1.5 additional credits at the B- or C-level in VPS or THR courses],"(VPDC06H3), (VPSC57H3), (VPAC04H3)","""Live!""",,
VPSC51H3,ART_LIT_LANG,University-Based Experience,"This course focuses on the finer details of curating and/or collecting contemporary art. Students will delve into the work of selected artists and curators with an emphasis on the conceptual and philosophical underpinnings of their projects. Term work will lead to a professionally curated exhibition, or the acquisition of an artwork.",,VPHA46H3 and VPSB73H3,,Curatorial Perspectives II,,
VPSC53H3,ART_LIT_LANG,,"Students will produce time-based three-dimensional artworks. Students will be encouraged to use altered machines, simple electronic components and a wide range of materials.",,[VPHA46H3 and VPSB59H3 and VPSB86H3] and [an additional 1.0 credit at the B- or C-level in VPS courses],(VPSB64H3),Kinetic Sculpture,,
VPSC54H3,ART_LIT_LANG,,"An advanced course for students who are able to pursue individual projects in painting, with a focus on contemporary practice and theory.",,[VPHA46H3 and VPSB62H3] and [an additional 1.0 credit at the B- or C-level in VPS courses],"VIS301H, FAS345Y",Painting III,,
VPSC56H3,ART_LIT_LANG,University-Based Experience,A supervised course focused specifically on the development of the student's work from initial concept through to the final presentation. Students may work in their choice of media with the prior written permission of the instructor.,,2.5 credits at the B- or C-level in VPS courses; students enrolled in the Specialist and Major programs in Studio Art must also complete VPHA46H3,"VIS311H, VIS326",Studio and Exhibition Practice,,
VPSC70H3,ART_LIT_LANG,,"This course will extend digital art practice into a range of other Studio Art media, allowing students to explore the creation of hybrid works that fuse traditional mediums with new technologies. Students will have the opportunity to work on projects that utilize networking, kinetics, GPS, data mining, sound installation, the Internet of Things (IoT), and interactivity.",,"2.5 credits at the B- or C-level in VPS courses including 0.5 credit taken from: VPSB56H3, VPSB58H3, VPSB76H3, VPSB80H3, VPSB86H3, VPSB88H3, VPSB89H3, VPSB90H3, NMEB05H3, NMEB08H3, or NMEB09H3; students enrolled in the Specialist and Major programs in Studio Art must also complete VPHA46H3",,Interdisciplinary Digital Art,,
